teams
team_name,record,conference,division,manager
Arizona Diamondbacks,"69-93,",National,West,Chip Hale
Atlanta Braves,"68-93,",National,East,Fredi Gonzalez
Baltimore Orioles,"89-73,",American,East,Buck Showalter
Boston Red Sox,"93-69,",American,East,John Farrell
Chicago Cubs,"103-58,",National,Central,Joe Maddon
Chicago White Sox,"78-84,",American,Central,Robin Ventura
Cincinnati Reds,"68-94,",National,Central,Bryan Price
Cleveland Indians,"94-67,",American,Central,Terry Francona
Colorado Rockies,"75-87,",National,West,Walt Weiss
Detroid Tigers,"86-75,",American,Central,Brad Ausmus
Houston Astros,"84-78,",American,West,A.J. Hinch
Kansas City Royals,"81-81,",American,Central,Ned Yost
Los Angeles Angels of Anaheim,"74-88,",American,West,Mike Scioscia
Los Angeles Dodgers,"91-71,",National,West,Dave Roberts
Miami Marlins,"79-82,",National,East,Don Mattingly
Milwaukee Brewers,"73-89,",National,Central,Craig Counsell
Minnesota Twins,"59-103,",American,Central,Paul Molitor
New York Mets,"87-75,",National,East,Terry Collins
New York Yankees,"84-78,",American,East,Joe Girardi
Oakland Athletics,"69-93,",American,West,Bob Melvin
Philadelphia Phillies,"71-91,",National,East,Pete Mackanin
Pittsbugh Pirates,"78-83,",National,Central,Clint Hurdle
San Diego Padres,"68-94,",National,West,Andy Green
San Francisco Giants,"87-75,",National,West,Bruce Bochy
Seattle Mariners,"86-76,",American,West,Scott Servais
St. Louis Cardinals,"86-76,",National,Central,Mike Matheny
Tampa Bay Rays,"68-94,",American,East,Kevin Cash
Texas Rangers,"95-67,",American,West,Jeff Banister
Toronto Blue Jays,"89-73,",American,East,John Gibbons
Washington Nationals,"95-67,",National,East,Dusty Baker



players
player_id,first_name,last_name,position,bats,throws,contract_status,full_legal_name
0,Welington,Castillo,Catcher,Right,Right,"Signed thru 2017, 1 yr/$6M (17) & 18 player option",Welington Andres Castillo 
1,Paul,Goldschmidt,First Baseman,Right,Right,"Signed thru 2018, 5 yrs/$32.05M (14-18) & 19 team option",Paul Edward Goldschmidt 
2,Jean,Segura,Shortstop and Second Baseman,Right,Right,"Signed thru 2017, 1 yr/$6.2M (17)",Jean Carlos Enrique Segura 
3,Nick,Ahmed,Shortstop,Right,Right,"Signed thru 2017, 1 yr/$566k (17)",Nicholas Mark Ahmed 
4,Jake,Lamb,Third Baseman,Left,Right,"Signed thru 2017, 1 yr/$573k (17)",Jacob Ryan Lamb 
5,Brandon,Drury,"Outfielder, Second Baseman and Third Baseman",Right,Right,"Signed thru 2017, 1 yr/$559k (17)",Brandon S. Drury 
6,Michael,Bourn,Centerfielder,Left,Right,Free Agent,Michael Ray Bourn 
7,Yasmany,Tomas,Outfielder and Third Baseman,Right,Right,"Signed thru 2020, 6 yrs/$68.5M (15-20)",Yasmany (Bacallao) Tomas 
8,Chris,Owings,"Shortstop, Second Baseman and Centerfielder",Right,Right,"Signed thru 2017, 1 yr/$2.3M (17)",Christopher Scott Owings 
9,Philip,Gosselin,"Pinch Hitter, Second Baseman and Third Baseman",Right,Right,"Signed thru 2017, 1 yr/$560k (17)",Philip David Gosselin 
10,Rickie,Weeks,Second Baseman and Leftfielder,Right,Right,"Signed thru 2017, 1 yr/$1.5M (17)",Rickie Darnell Weeks Jr.
11,David,Peralta,Outfielder,Left,Left,"Signed thru 2017, 1 yr/$572k (17)",Senger David (Guerrero) Peralta 
12,Chris,Herrmann,Catcher and Outfielder,Left,Right,"Signed thru 2017, 1 yr/$938k (17)",Christopher Ryan Herrmann 
13,Mitch,Haniger,Outfielder,Right,Right,"Signed thru 2017, 1 yr/$538k (17)",Mitchell Evan Haniger 
14,Tuffy,Gosewisch,Catcher,Right,Right,"Signed thru 2017, 1 yr/$635k (17)",James Benjamin Gosewisch 
15,Socrates,Brito,Outfielder,Left,Left,"Signed thru 2017, 1 yr/$540k (17)",Socrates Orel Brito 
16,Peter,O'Brien,Leftfielder and Pinch Hitter,Right,Right,Pre-Arb Eligible,Peter Robert O'Brien 
17,A.J.,Pollock,Centerfielder,Right,Right,"Signed thru 2017, 2 yrs/$10.25M (16-17)",Allen Lorenz Pollock 
18,Kyle,Jensen,"Pinch Hitter, Leftfielder and First Baseman",Right,Left,Contract Info Unavailable,Kyle Gregory Jensen 
19,Oscar,Hernandez,Catcher,Right,Right,Pre-Arb Eligible,Oscar Eduardo (Rios) Hernandez 
20,Mike,Freeman,"Pinch Hitter, Second Baseman and First Baseman",Left,Right,Pre-Arb Eligible,Michael Barrett Freeman 
21,Robbie,Ray,Pitcher,Right,Right,Contract Info Unavailable,Robert Andrew Ray 
22,Zack,Greinke,Pitcher,Right,Right,"Signed thru 2021, 6 yrs/$206.5M (16-21)",Donald Zachary Greinke 
23,Patrick,Corbin,Pitcher,Left,Left,"Signed thru 2017, 1 yr/$3.95M (17)",Patrick Alan Corbin 
24,Archie,Bradley,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$548k (17)",Archie N. Bradley 
25,Shelby,Miller,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$4.7M (17)",Shelby Charles Miller 
26,Braden,Shipley,Pitcher,Right,Right,Pre-Arb Eligible,Braden Alec Shipley 
27,Zack,Godley,Pitcher,Right,Right,Pre-Arb Eligible,Zachary Thomas Godley 
28,Rubby,De La Rosa,Pitcher,Right,Right,Contract Info Unavailable,Rubby Carlos (Corporan) De La Rosa 
29,Matt,Koch,Pitcher,Left,Right,Pre-Arb Eligible,Matthew David Koch 
30,Tyler,Wagner,Pitcher,Right,Right,Pre-Arb Eligible,Tyler Joseph Wagner 
31,Vicente,Campos,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$535k (17)",Jose Vicente (Carnota) Campos 
32,Randall,Delgado,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$1.78M (17)",Randall Enrique Delgado 
33,Edwin,Escobar,"Shortstop, Third Baseman and Second Baseman",Both,Right,"Signed thru 2017, 1 yr/$2.6M (17)",Eduardo Jose Escobar 
34,Matt,Buschmann,Pitcher,Right,Right,Contract Info Unavailable,Matthew David Buschmann 
35,Silvino,Bracho,Pitcher,Right,Right,Pre-Arb Eligible,Silvino (Saavedra) Bracho 
36,Enrique,Burgos,Pitcher,Left,Left,Contract Info Unavailable,Enrique (Calles) Burgos 
37,Josh,Collmenter,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$1.2M (17)",Joshua Michael Collmenter 
38,Andrew,Chafin,Pitcher,Right,Left,"Signed thru 2017, 1 yr/$554k (17)",Andrew Gregory Chafin 
39,Dominic,Leone,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$548k (17)",Dominic Joseph Leone 
40,Tyler,Clippard,Pitcher,Right,Right,"Signed thru 2017, 2 yrs/$12.25M (16-17)",Tyler Lee Clippard 
41,Adam,Loewen,Pitcher and Outfielder,Left,Left,1st-Year Arb Eligible,Adam A. Loewen 
42,Jake,Barrett,Pitcher,Right,Right,"Signed thru 2017, 1 yr/$544k (17)",Jake Dalton Barrett 
43,Zac,Curtis,Pitcher,Left,Left,Pre-Arb Eligible,Zachary Aaron Curtis 
44,Daniel,Hudson,Pitcher,Right,Right,"Signed thru 2018, 2 yrs/$11M (17-18)",Daniel Claiborne Hudson 
45,Kyle,Drabek,Pitcher,Right,Right,Contract Info Unavailable,Kyle Jordan Drabek 
46,Keith,Hessler,Pitcher,Left,Left,Pre-Arb Eligible,Keith Alexander Hessler 
47,Evan,Marshall,Pitcher,Right,Right,Pre-Arb Eligible,Evan Patrick Marshall 
48,Brad,Ziegler,Pitcher,Right,Right,"Signed thru 2018, 2 yrs/$16M (17-18)",Brad Gregory Ziegler 
